hour,stamp,pres_hPa,atmp_C,rh,wspd_m_s,gust_m_s,rho0_model,rho0_obs,rho30_model,v_stall_m_s,cl_trim,alpha_trim_deg,cd_trim,drag_N,power_W,thrust_avail_N,margin
658.0,2026-09-01 10:00,1014.4,16.5,0.8353584237069821,3.0,4.0,1.2129264811352276,1.2129264811352276,1.2095001220464905,6.5759233672574355,0.47411602619515475,2.1874265185540214,0.03340962372148123,58.047953122778075,1073.3789400873707,415.6060437343097,7.159701959778931
659.0,2026-09-01 11:00,1014.5,16.6,0.8193472643185665,4.0,5.0,1.2127199352528544,1.2127199352528544,1.2092934214056654,6.5764853439754,0.47419706532486905,2.188444616343474,0.033412498827126234,58.04302740144283,1073.287857365904,415.5350176682475,7.159085875970663
660.0,2026-09-01 12:00,1014.4,16.5,0.8797680617579738,4.0,4.0,1.2125483476994068,1.2125483476994068,1.2091263978681843,6.576939552037466,0.47426256887474877,2.1892675400294634,0.033414823120701945,58.039047817890356,1073.214269910262,415.4776253700925,7.158587898852861
661.0,2026-09-01 13:00,1014.6,16.2,0.9260768600471826,3.0,4.0,1.21380085144762,1.21380085144762,1.2103794434980197,6.573534281301946,0.4737715884284803,2.18309933327832,0.03339740924363546,58.06891707757457,1073.7665897178738,415.90819443523094,7.162320486872814
662.0,2026-09-01 14:00,1014.8,16.1,0.9501275990991449,4.0,5.0,1.2143106646554334,1.2143106646554334,1.2108903549467145,6.572147348023302,0.4735716897938882,2.180587998831488,0.03339032449414749,58.08110482874483,1073.991956414362,416.08375281841774,7.163840185982385
663.0,2026-09-01 15:00,1015.5,16.1,0.9562395715567671,3.0,4.0,1.215102929717074,1.215102929717074,1.2116837830257219,6.569995227051323,0.47326158819694586,2.1766921802131756,0.03337933987992732,58.100042289868945,1074.3421336532795,416.3563890082728,7.1661976927833315
664.0,2026-09-01 16:00,1016.1,16.1,0.9562395715567671,4.0,5.0,1.215825559720466,1.215825559720466,1.2124069005240565,6.568035659221756,0.4729793201435663,2.173146035502688,0.03336934745852738,58.11731247997563,1074.6614809748398,416.60486521522785,7.168343604304989
665.0,2026-09-01 17:00,1016.3,16.3,0.9441339324652338,4.0,4.0,1.2152261762836591,1.2152261762836591,1.211809326201606,6.56965489321647,0.47321255840197607,2.1760762169612002,0.033377603774377186,58.103039888429244,1074.397562983555,416.39952790648033,7.166570436005758
666.0,2026-09-01 18:00,1016.7,16.4,0.9441758258156941,3.0,4.0,1.2152366982389435,1.2152366982389435,1.2118215909550154,6.569621647645617,0.4732077690539545,2.1760160481927193,0.033377434197064376,58.103332751138616,1074.402978379752,416.4037422968296,7.166606846466472
667.0,2026-09-01 19:00,1017.1,16.6,0.9382380143867836,4.0,4.0,1.2148275125783914,1.2148275125783914,1.2114149698659493,6.570724128070769,0.47336660501288985,2.1780115106223854,0.03338305904602389,58.09362488239144,1074.2234677974527,416.2640199610933,7.1653993153948585
668.0,2026-09-01 20:00,1017.2,16.7,0.9323007842241369,4.0,4.0,1.214528578774087,1.214528578774087,1.2111169371909567,6.571532543001142,0.47348309146536366,2.179474934528625,0.03338718537411444,58.08651159348294,1074.0919342273887,416.1616105617891,7.164513742437937
669.0,2026-09-01 21:00,1017.0,16.9,0.9264602384588321,4.0,4.0,1.2133993786127544,1.2133993786127544,1.2099898138252276,6.574592570317293,0.47392414795160054,2.185015944596782,0.03340281822570898,58.05962598992649,1073.5947859371124,415.77431065640445,7.161160678653743
670.0,2026-09-01 22:00,1016.9,16.9,0.9146774794044665,4.0,5.0,1.2133820360325684,1.2133820360325684,1.2099711959399673,6.574643151909507,0.4739314402453661,2.1851075579715666,0.0334030768168386,58.05918210466405,1073.5865779458418,415.76791321543317,7.161105240268849
671.0,2026-09-01 23:00,1016.8,17.0,0.9089026455390058,4.0,5.0,1.212843779986787,1.212843779986787,1.2094336792963178,6.576103995778155,0.4741420727434034,2.1877537423690887,0.03341054774714021,58.04636968445505,1073.3496603409296,415.58321280768894,7.159503946014786
672.0,2026-09-02 00:00,1016.5,17.2,0.8974752273349127,4.0,5.0,1.2116483981364758,1.2116483981364758,1.2082396950911347,6.579352451159631,0.4746106206219149,2.1936401278849136,0.033427178591164765,58.01793015530424,1072.8237780313173,415.1729383126706,7.155941916599273
673.0,2026-09-02 01:00,1016.4,17.2,0.926623643559593,4.0,5.0,1.2112695925943495,1.2112695925943495,1.2078638103171966,6.580376112111024,0.47475831848678784,2.1954956619986707,0.033432424449142226,58.008982858080444,1072.6583313636213,415.0437775288485,7.154819082835107
674.0,2026-09-02 02:00,1016.4,17.3,0.926677992568539,3.0,4.0,1.210799936365618,1.210799936365618,1.2073955800246299,6.581651929591185,0.4749424306618208,2.1978086705301445,0.033438965937639495,57.9978413970161,1072.452311874132,414.882885160255,7.153419423323573
675.0,2026-09-02 03:00,1016.4,17.0,0.9384222041997571,3.0,4.0,1.2121045190755453,1.2121045190755453,1.2086971036149514,6.5781074177038725,0.474431013222578,2.1913837130285487,0.03342080158579984,58.02882180529019,1073.0251782028788,415.3301121264542,7.157307338068178
676.0,2026-09-02 04:00,1016.6,16.8,0.9564700707259925,3.0,4.0,1.2131281775945995,1.2131281775945995,1.2097199027716248,6.575325986470302,0.47402988926064926,2.1863443768415,0.03340656829468508,58.05319148156636,1073.47580386467,415.681564353115,7.160356799420863
677.0,2026-09-02 05:00,1016.9,16.7,0.9625565178650933,4.0,4.0,1.213907281206813,1.213907281206813,1.2104984323545425,6.573211192676227,0.4737250179100448,2.1825142660146417,0.03339575843767379,58.07175508256608,1073.8190679643214,415.9490811511614,7.162674531874703
678.0,2026-09-02 06:00,1017.0,16.6,0.9686864275335452,4.0,5.0,1.2144464615905948,1.2144464615905948,1.211036876826503,6.571749757937149,0.47351439293073655,2.1798681760752103,0.033388294346642186,58.08460105541295,1074.0566059992905,416.13410037743756,7.164275777334579
679.0,2026-09-02 07:00,1016.8,16.6,0.9625281930277724,4.0,5.0,1.2142587518967736,1.2142587518967736,1.2108483905695957,6.572261232503974,0.47358810236968063,2.1807941906698307,0.03339090607123879,58.08010357596373,1073.973442003584,416.06933310201237,7.1637154117301085
680.0,2026-09-02 08:00,1016.6,16.5,0.9624998362508222,5.0,6.0,1.214489898147387,1.214489898147387,1.2110779449734712,6.571638331635451,0.47349833586458223,2.1796664505185017,0.03338772545532426,58.085581078215434,1074.0747278413262,416.1482121330083,7.16439784897119
681.0,2026-09-02 09:00,1016.6,16.4,0.962471447486534,6.0,7.0,1.2149615373476679,1.2149615373476679,1.2115481560216972,6.57036295648426,0.4733145675614128,2.1773577620628397,0.03338121603873927,58.09680427129789,1074.2822586576112,416.30978512495045,7.165794923605185
682.0,2026-09-02 10:00,1016.4,16.4,0.962471447486534,5.0,6.0,1.2147209102498941,1.2147209102498941,1.211307366762274,6.571015967544344,0.4734086552119337,2.178539788934893,0.03338454848340641,58.09105646370478,1074.1759745374966,416.22704559507486,7.165079634162498
683.0,2026-09-02 11:00,1016.2,16.6,0.9625281930277724,5.0,6.0,1.213537368882171,1.213537368882171,1.2101265217416317,6.574221194175587,0.47387060877066695,2.184343329750722,0.03340091980126353,58.06288557456591,1073.655059716241,415.82128596070436,7.161567701052259
684.0,2026-09-02 12:00,1016.0,16.3,0.9686150423439879,6.0,7.0,1.2146591549854413,1.2146591549854413,1.2112444668607456,6.571186581694861,0.473433239314161,2.178848639982794,0.03338541932489548,58.08955518908839,1074.148214100309,416.2054320551098,7.1648927367460775
685.0,2026-09-02 13:00,1016.1,16.1,0.968567317264588,6.0,7.0,1.2157230903674572,1.2157230903674572,1.2123056298102386,6.568309985989236,0.4730188307687703,2.1736424090486763,0.0333707457943457,58.114893210126745,1074.6167456626285,416.5700667725086,7.168043228889899
686.0,2026-09-02 14:00,1016.3,16.0,0.9747641899562645,7.0,8.0,1.216384497544345,1.216384497544345,1.2129663771109216,6.566520742538382,0.47276116005216967,2.170405281652285,0.033361628573394544,58.13068155663809,1074.908691850778,416.79711145529905,7.170002145066953
687.0,2026-09-02 15:00,1016.6,15.9,0.9623290221790394,7.0,9.0,1.217320262712429,1.217320262712429,1.2138997667077116,6.563995698474669,0.47239764540239265,2.165838432740205,0.03334877470066925,58.15299933541875,1075.321375372659,417.11784094553525,7.172765733709712
688.0,2026-09-02 16:00,1017.4,15.8,0.974725655901945,6.0,8.0,1.2186552046865797,1.2186552046865797,1.2152351315091174,6.560388273927388,0.471878549820327,2.1593170144268674,0.033330436628946476,58.18495845022821,1075.9123392040235,417.5766963618665,7.176712117429186
689.0,2026-09-02 17:00,1017.5,16.1,0.968567317264588,6.0,7.0,1.2174092270420385,1.2174092270420385,1.2139929039730195,6.5637438995008,0.47236140316021263,2.165383120019321,0.033347493717537,58.15522723593458,1075.362572027591,417.1498445887373,7.173041262419435
690.0,2026-09-02 18:00,1017.8,16.3,0.9686150423439879,5.0,6.0,1.2168255470581426,1.2168255470581426,1.2134123193972388,6.565313997592625,0.4725874151599961,2.1682225177051127,0.033355483723015666,58.14134209369876,1075.1058184565472,416.9503452631935,7.1713230250386975
691.0,2026-09-02 19:00,1018.4,16.7,0.9503522103547698,3.0,3.0,1.2158152878517652,1.2158152878517652,1.2124064282719824,6.568036938400128,0.4729795043767243,2.1731483500311337,0.03336935397852328,58.11730119780955,1074.6612723535395,416.60470294090277,7.168342203691396
692.0,2026-09-02 20:00,1018.5,16.8,0.9264056504469453,2.0,3.0,1.2156716220131454,1.2156716220131454,1.2122618514491397,6.568428585469213,0.4730359128778503,2.1738570122601724,0.03337135039004183,58.11384744588917,1074.5974081795903,416.5550237385098,7.167913363959795
693.0,2026-09-02 21:00,1018.2,17.0,0.9089026455390058,1.0,2.0,1.2145246865286539,1.2145246865286539,1.2111157162783412,6.571535855345642,0.47348356877853176,2.1794809310328205,0.033387202284184146,58.08648245700928,1074.0913954577074,416.1611910342069,7.164510113729375
694.0,2026-09-02 22:00,1018.2,17.1,0.8916644658303884,2.0,3.0,1.214207788273249,1.214207788273249,1.2107984587104592,6.572396747145778,0.47360763256832444,2.181039549327271,0.033391598147076755,58.07891226801615,1073.951413236103,416.05217561516827,7.1635669362266405
695.0,2026-09-02 23:00,1018.0,17.4,0.8693240032333807,2.0,3.0,1.2127645815220631,1.2127645815220631,1.2093569683339167,6.5763125575511525,0.4741721481435271,2.188131580809491,0.033411614763234225,58.044541647710176,1073.3158576650712,415.5568535382573,7.159275303789927
696.0,2026-09-03 00:00,1017.6,17.5,0.875010594191152,2.0,3.0,1.211767056495261,1.211767056495261,1.2083611080584389,6.579021904783419,0.4745629329866713,2.193041026238624,0.03342548519446527,58.02082078940367,1072.877229455509,415.21465799676116,7.156304449808674
697.0,2026-09-03 01:00,1017.3,17.5,0.8976993566271491,3.0,3.0,1.2112023762448942,1.2112023762448942,1.2077985592607636,6.580553861409805,0.4747839672024566,2.1958178878273134,0.033433335593574816,58.00742995634764,1072.6296162767608,415.0213560896776,7.154624095602819
698.0,2026-09-03 02:00,1017.1,17.5,0.9092364626357303,3.0,3.0,1.2108583647904034,1.2108583647904034,1.2074555934543083,6.581488365640898,0.4749188248875643,2.1975121102552064,0.033438127084921956,57.999269160616194,1072.4787130010852,414.9035068564624,7.153598879107918
699.0,2026-09-03 03:00,1016.8,17.1,0.9265692349289826,2.0,3.0,1.212219371488548,1.212219371488548,1.2088124877889699,6.577793461812505,0.4743857275962775,2.1908147879155435,0.03341919408939615,58.031569954056245,1073.07599489582,415.3697602085,7.157651611654646
700.0,2026-09-03 04:00,1016.9,16.9,0.9324015014101815,3.0,4.0,1.2132274556223333,1.2132274556223333,1.2098184123422413,6.5750582827724005,0.47399129133523,2.185859469578979,0.033405199339295664,58.055539718760706,1073.5192256946425,415.7154140172595,7.160650233054687
701.0,2026-09-03 05:00,1017.4,16.8,0.9383302112752655,3.0,3.0,1.214246619912601,1.214246619912601,1.2108371625236893,6.572291704594706,0.47359249393373126,2.1808493620625637,0.03339106168905149,58.07983568535097,1073.9684883725513,416.0654749430483,7.163682025498383
702.0,2026-09-03 06:00,1017.2,16.8,0.9443429336167335,3.0,3.0,1.213954198057844,1.213954198057844,1.2105451853437785,6.573084258034227,0.4737067219712137,2.182284413412009,0.03339510993776045,58.07287026601944,1073.8396890951067,415.9651463210071,7.162813623910088
703.0,2026-09-03 07:00,1016.8,16.7,0.9564372530611401,2.0,3.0,1.2138398252961538,1.2138398252961538,1.210430281602799,6.573396235543066,0.4737516900088685,2.1828493486463065,0.03339670387561483,58.07012958344497,1073.7890104613455,415.9256633244135,7.162471761437027
704.0,2026-09-03 08:00,1016.6,16.6,0.9625281930277724,2.0,3.0,1.2140182908919062,1.2140182908919062,1.2106077676269411,6.572914358274901,0.47368223373563223,2.181976766740568,0.03339424199096302,58.074363088504384,1073.8672932418583,415.98665072157644,7.16299979196706
705.0,2026-09-03 09:00,1016.6,16.6,0.9686864275335452,3.0,3.0,1.2139655395808597,1.2139655395808597,1.2105556309411936,6.573055899180535,0.47370263446826544,2.1822330619509223,0.03339496505956058,58.073119427321785,1073.8442963978664,415.9687356165656,7.162844698520946
706.0,2026-09-03 10:00,1016.2,16.6,0.9748792671308887,3.0,3.0,1.2134315698335703,1.2134315698335703,1.2100219553974054,6.574505249940992,0.4739115591988591,2.1848577915985548,0.033402371826864306,58.06039232149505,1073.6089563621242,415.7853550799715,7.161256382451965
707.0,2026-09-03 11:00,1015.9,16.6,0.9811068775156451,3.0,3.0,1.2130175327428598,1.2130175327428598,1.2096082969494026,6.575629319267575,0.47407362614281373,2.186893845020714,0.033408119648543996,58.050531294535,1073.4266136937417,415.64321458085294,7.16002429800298
708.0,2026-09-03 12:00,1015.6,16.5,0.9810924504239088,3.0,4.0,1.2131288680503916,1.2131288680503916,1.2097179506153821,6.575331291863384,0.4740306542161557,2.18635398700776,0.03340659542654339,58.05314494869622,1073.4749434139542,415.6808935570415,7.160350983988801
709.0,2026-09-03 13:00,1015.1,16.1,0.9747834240890093,5.0,6.0,1.2144670381784124,1.2144670381784124,1.21104936952798,6.571715862077203,0.47350950834542993,2.1798068108369533,0.03338812128694815,58.08489916933694,1074.062118496985,416.1383930948519,7.164312911720291
