window,t_s,n_load
calm,5703.0,0.9208646304670207
calm,5704.0,0.9300656261354022
calm,5705.0,0.7553240215971293
calm,5706.0,0.7666677679418901
calm,5707.0,0.9765344437508834
calm,5708.0,1.0291954245787125
calm,5709.0,0.8464678294406932
calm,5710.0,0.7290236866526159
calm,5711.0,0.8034446813989041
calm,5712.0,0.8902920197360655
calm,5713.0,0.8847052219245257
calm,5714.0,0.8897167782644781
calm,5715.0,0.9223310546871442
calm,5716.0,0.8720088917593206
calm,5717.0,0.7675710425841669
calm,5718.0,0.7890857204848412
calm,5719.0,0.9045404895802476
calm,5720.0,0.9276553912691272
calm,5721.0,0.8587192516498454
calm,5722.0,0.8517321287599845
calm,5723.0,0.9140695114648552
calm,5724.0,0.8795615343917755
calm,5725.0,0.7502065990177873
calm,5726.0,0.7369335996447506
calm,5727.0,0.9048555234784874
calm,5728.0,1.0466089244597787
calm,5729.0,0.9854240818317049
calm,5730.0,0.804629413933724
calm,5731.0,0.6973332171331675
calm,5732.0,0.7412930008084294
calm,5733.0,0.8839098895694417
calm,5734.0,0.9978662869041772
calm,5735.0,0.9654949004995529
calm,5736.0,0.8425475785018461
calm,5737.0,0.8078661162760422
calm,5738.0,0.8739414300388025
calm,5739.0,0.8543833982977809
calm,5740.0,0.7230237444773371
calm,5741.0,0.7471069571880221
calm,5742.0,1.0216897652532229
calm,5743.0,1.1780914274199838
calm,5744.0,0.8987737568407833
calm,5745.0,0.5583588987978625
calm,5746.0,0.6424542165569966
calm,5747.0,0.9862324896931876
calm,5748.0,1.0739452758051378
calm,5749.0,0.8389272674798555
calm,5750.0,0.7623566526331967
calm,5751.0,0.9394787802141152
calm,5752.0,0.9667719383869848
calm,5753.0,0.728983103409806
calm,5754.0,0.6458081043143331
calm,5755.0,0.9080967890717494
calm,5756.0,1.0998247500615876
calm,5757.0,0.9365353679593506
calm,5758.0,0.7148100941129368
calm,5759.0,0.7652630157018706
calm,5760.0,0.9066119960983415
calm,5761.0,0.8721409878688862
calm,5762.0,0.8137080465470775
calm,5763.0,0.9161322607379963
calm,5764.0,0.9841137777413651
calm,5765.0,0.8343172819274794
calm,5766.0,0.6958734499594206
calm,5767.0,0.8167118053842215
calm,5768.0,0.9744460898634706
calm,5769.0,0.8972710658059222
calm,5770.0,0.7876494631447759
calm,5771.0,0.9035237276950808
calm,5772.0,1.0094134654344
calm,5773.0,0.8133865163720942
calm,5774.0,0.5854288011657461
calm,5775.0,0.7662182039834817
calm,5776.0,1.133227120156823
calm,5777.0,1.0848793621911559
calm,5778.0,0.7264659243969179
calm,5779.0,0.6391436124702929
calm,5780.0,0.9218344776312186
calm,5781.0,1.0330253216520555
calm,5782.0,0.771767715618944
calm,5783.0,0.6421807788991793
calm,5784.0,0.9194987975893275
calm,5785.0,1.1774294993485643
calm,5786.0,0.974055599466215
calm,5787.0,0.628862934635969
calm,5788.0,0.6273591503798014
calm,5789.0,0.8892896119441553
calm,5790.0,1.0162711470303087
calm,5791.0,0.922854355380079
calm,5792.0,0.8489934068002533
calm,5793.0,0.8754863932333163
calm,5794.0,0.8703676384347678
calm,5795.0,0.7982659947697246
calm,5796.0,0.7704074062151839
calm,5797.0,0.8300666751564715
calm,5798.0,0.9157117264539949
calm,5799.0,0.9668075352147215
calm,5800.0,0.9433499287037735
calm,5801.0,0.82995620524025
calm,5802.0,0.717159543452419
calm,5803.0,0.7508380673419991
calm,5804.0,0.9077300476659046
calm,5805.0,0.9941983202662055
calm,5806.0,0.9207729478570857
calm,5807.0,0.8168014246867177
calm,5808.0,0.806096379737501
calm,5809.0,0.8251658148080996
calm,5810.0,0.8163031621515374
calm,5811.0,0.8504178258875082
calm,5812.0,0.9438884339430402
calm,5813.0,0.9596480239247762
calm,5814.0,0.8519824050048815
calm,5815.0,0.7624425710101822
calm,5816.0,0.7832562645487752
calm,5817.0,0.8427195826932593
calm,5818.0,0.8815792191558132
calm,5819.0,0.9433491585558447
calm,5820.0,0.9816785069376938
calm,5821.0,0.8653737153469782
calm,5822.0,0.6807992127604583
calm,5823.0,0.7063183771068781
calm,5824.0,0.9374378968388429
calm,5825.0,1.0302243395420188
calm,5826.0,0.86171981287618
calm,5827.0,0.7707870210562296
calm,5828.0,0.9182314774843859
calm,5829.0,0.9727592071322082
calm,5830.0,0.7348037789826369
calm,5831.0,0.5829327982884037
calm,5832.0,0.8639372863096502
calm,5833.0,1.2005094212725267
calm,5834.0,1.0522457948063504
calm,5835.0,0.6563705337667406
calm,5836.0,0.6207357769701121
calm,5837.0,0.9188521376648672
calm,5838.0,1.0150828260449316
calm,5839.0,0.7963632755089067
calm,5840.0,0.7297507887263325
calm,5841.0,0.9500368399014342
calm,5842.0,1.0531796815011625
calm,5843.0,0.8342827699715811
calm,5844.0,0.6543334221917572
calm,5845.0,0.7807545677568299
calm,5846.0,0.9418769843031273
calm,5847.0,0.9168223013749411
calm,5848.0,0.8581528797960409
calm,5849.0,0.908436398547262
calm,5850.0,0.8998582299618244
calm,5851.0,0.7541196393536559
calm,5852.0,0.7220939448286299
calm,5853.0,0.9098325005795064
calm,5854.0,1.017480104961669
calm,5855.0,0.8677956912724467
calm,5856.0,0.7383489088433404
calm,5857.0,0.8568085934461149
calm,5858.0,0.9702957988451916
calm,5859.0,0.8202808814367069
calm,5860.0,0.6836115715279242
calm,5861.0,0.859727336504878
calm,5862.0,1.0977178233370812
calm,5863.0,0.9770841886163371
calm,5864.0,0.6598391961101984
calm,5865.0,0.6393113877158291
calm,5866.0,0.9173697215291317
calm,5867.0,1.0404047951645339
calm,5868.0,0.8771307485541745
calm,5869.0,0.7726382581703665
calm,5870.0,0.8884084727646163
calm,5871.0,0.949646744477561
calm,5872.0,0.7913961797046432
calm,5873.0,0.6649236176599123
calm,5874.0,0.8013233487038595
calm,5875.0,1.0462578247842995
calm,5876.0,1.0698987976401928
calm,5877.0,0.8637977498134127
calm,5878.0,0.6889015006632729
calm,5879.0,0.7015847716512987
calm,5880.0,0.8497809144943461
calm,5881.0,0.963990759910441
calm,5882.0,0.9433948411712698
calm,5883.0,0.8590329181817905
calm,5884.0,0.8419379212273583
calm,5885.0,0.8845810993096254
calm,5886.0,0.8468086780867666
calm,5887.0,0.7326021933904289
calm,5888.0,0.7408599377528261
calm,5889.0,0.9468647864822264
calm,5890.0,1.0868159370391852
calm,5891.0,0.9309428312400037
calm,5892.0,0.6947575824436238
calm,5893.0,0.6938422848628294
calm,5894.0,0.8779746860478778
calm,5895.0,0.9539927070290013
calm,5896.0,0.8775132603997344
calm,5897.0,0.849836737785607
calm,5898.0,0.8957958880218823
calm,5899.0,0.8612692688672239
calm,5900.0,0.7693776762911722
calm,5901.0,0.7995905231954664
calm,5902.0,0.9185996909531439
calm,5903.0,0.9175651612219436
calm,5904.0,0.8247686750050149
calm,5905.0,0.8393141764839647
calm,5906.0,0.9223343903928741
calm,5907.0,0.8503548399560863
calm,5908.0,0.7036971050110633
calm,5909.0,0.7894462705049963
calm,5910.0,1.0311113743054994
calm,5911.0,1.0343384187368112
calm,5912.0,0.7539191651617173
calm,5913.0,0.6443874407601106
calm,5914.0,0.8671858796613546
calm,5915.0,1.0147583387677344
calm,5916.0,0.8367036314820383
calm,5917.0,0.705116584736774
calm,5918.0,0.9107016347454743
calm,5919.0,1.0872481453784755
calm,5920.0,0.8729482956750646
calm,5921.0,0.5738623641763367
calm,5922.0,0.6885113599744694
calm,5923.0,1.0248630996582588
calm,5924.0,1.058825837355408
calm,5925.0,0.8144678816461911
calm,5926.0,0.7420238838100474
calm,5927.0,0.9043057426265488
calm,5928.0,0.9216423079680689
calm,5929.0,0.737048332120895
calm,5930.0,0.7010663809808674
calm,5931.0,0.9202077769297906
calm,5932.0,1.0637272667986335
calm,5933.0,0.9346779542602071
calm,5934.0,0.7659148081686831
calm,5935.0,0.7586438147613572
calm,5936.0,0.8004962161806446
calm,5937.0,0.8093768867589533
calm,5938.0,0.8851095756108512
calm,5939.0,1.005924367436035
calm,5940.0,0.9613572558536378
calm,5941.0,0.7618858614515639
calm,5942.0,0.6962684085678581
calm,5943.0,0.8534478199341632
calm,5944.0,0.9565029386249083
calm,5945.0,0.8554548240496599
calm,5946.0,0.7862606477761491
calm,5947.0,0.9071123431247289
calm,5948.0,0.9887568712684348
calm,5949.0,0.8211424099459242
calm,5950.0,0.650631479948103
calm,5951.0,0.7670201204916927
calm,5952.0,1.026889575657627
calm,5953.0,1.054486662819902
calm,5954.0,0.8276891450613566
calm,5955.0,0.6806683354564222
calm,5956.0,0.7619544987139996
calm,5957.0,0.9100795283166584
calm,5958.0,0.938569712372284
calm,5959.0,0.8739570956798175
calm,5960.0,0.8419198282750895
calm,5961.0,0.8663880491591542
calm,5962.0,0.876220438002048
calm,5963.0,0.8162184885500021
calm,5964.0,0.7442657038862429
calm,5965.0,0.7934003426338649
calm,5966.0,0.9633884736087275
calm,5967.0,1.039158773056401
calm,5968.0,0.8822092408453852
calm,5969.0,0.6809690572591273
