# t,x,z,Vx,Vz,T,L,D,R,N_water
3.930899999999999750e+01,3.666940147219229971e+02,-4.319809488057881064e-02,7.876292788711017519e-04,3.321862974234457422e-01,2.745963774651835365e+01,-2.108133709707465275e+00,4.407721748965504754e-02,4.407786304507686076e-02,9.624606730567978730e+02
3.931000000000000227e+01,3.666940152888041098e+02,-4.286428205199974834e-02,5.668811398474337456e-04,3.338128285790598615e-01,2.745958329551702093e+01,-2.129033604298059323e+00,4.451633941999761507e-02,4.453773509292723032e-02,9.618739048599385342e+02
3.931099999999999994e+01,3.666940156355348108e+02,-4.252884966281712115e-02,3.467307024576639319e-04,3.354323891826274107e-01,2.745952885846778457e+01,-2.149928143662125812e+00,4.495539070698129080e-02,4.496647387887819924e-02,9.612874177303098122e+02
3.931199999999999761e+01,3.666940157627126951e+02,-4.219180467924696365e-02,1.271778700717957988e-04,3.370449835701564978e-01,2.745947438559190701e+01,-2.170836434344857846e+00,4.539477057918544362e-02,4.539891689583475110e-02,9.607012851038251711e+02
3.931300000000000239e+01,3.666940156709351868e+02,-4.185315406229979385e-02,-9.177751213323078762e-05,3.386506169471690253e-01,2.745941988018697444e+01,-2.191757210636516184e+00,4.583445230384547431e-02,4.583501012988473039e-02,9.601155801355545236e+02
3.931400000000000006e+01,3.666940165030976004e+02,-4.151290476691456982e-02,8.321624164263042526e-04,3.402492953852208069e-01,2.745936534550338948e+01,-2.212689224934045740e+00,4.627440951216633264e-02,4.627470001334531291e-02,9.595303756877084425e+02
3.931499999999999773e+01,3.666940171174975376e+02,-4.117106384474394920e-02,6.143999142411864017e-04,3.418409221706228962e-01,2.745931075476942596e+01,-2.233642753013529880e+00,4.671486145382548749e-02,4.673874500406609983e-02,9.589445368819760915e+02
3.931600000000000250e+01,3.666940175147324226e+02,-4.082763825095114124e-02,3.972349016559026088e-04,3.434255937928083480e-01,2.745925619965777287e+01,-2.254582608204192429e+00,4.715506743272381007e-02,4.716808658832143120e-02,9.583593299013939486e+02
3.931700000000000017e+01,3.666940176953993955e+02,-4.048263493220802256e-02,1.806670000612365214e-04,3.450033187431191806e-01,2.745920162521079178e+01,-2.275529884861272834e+00,4.759546827894334253e-02,4.760091046225835287e-02,9.577748269046018095e+02
3.931799999999999784e+01,3.666940176600951418e+02,-4.013606082584147278e-02,-3.530422551205187579e-05,3.465741063665468968e-01,2.745914703449722793e+01,-2.296483405111440668e+00,4.803603902501003137e-02,4.803716475409151171e-02,9.571910997114205202e+02
3.931900000000000261e+01,3.666940185482351922e+02,-3.978792285898390818e-02,8.881400443399163321e-04,3.481379668575662056e-01,2.745909243053598559e+01,-2.317442010210253311e+00,4.847675508968551233e-02,4.847679807579642619e-02,9.566082197911110825e+02
3.932000000000000028e+01,3.666940192215944307e+02,-3.943822805356701766e-02,6.733592612142247314e-04,3.496948054168904085e-01,2.745903777980457861e+01,-2.338418567072090504e+00,4.891789026977227950e-02,4.894509510812333763e-02,9.560250172696748905e+02
3.932099999999999795e+01,3.666940196807688039e+02,-3.908698332914062323e-02,4.591743814285323866e-04,3.512447244263955382e-01,2.745898318651380521e+01,-2.359373076531577684e+00,4.935860260739994426e-02,4.937424037612624106e-02,9.554427905643433405e+02
3.932200000000000273e+01,3.666940199263535760e+02,-3.873419559269161011e-02,2.455847537825642788e-04,3.527877364490140111e-01,2.745892858923476254e+01,-2.380329116804310363e+00,4.979938493392004062e-02,4.980665660593680544e-02,9.548616102758736588e+02
3.932300000000000040e+01,3.666940199589432723e+02,-3.837987173780946920e-02,3.258967277094840329e-05,3.543238548821421308e-01,2.745887399079497371e+01,-2.401285602607692748e+00,5.024021415117296829e-02,5.024229422939241463e-02,9.542815466095971715e+02
3.932399999999999807e+01,3.666940197791316791e+02,-3.802401864385666214e-02,-1.798116209387939706e-04,3.558530939528068981e-01,2.745881939396985771e+01,-2.422241468652118535e+00,5.068106756634604970e-02,5.068110419616317364e-02,9.537026693641670363e+02
3.932500000000000284e+01,3.666940205221844167e+02,-3.766664317514397536e-02,7.430527626250783358e-04,3.573754687126898810e-01,2.745876480148235643e+01,-2.443195669789431701e+00,5.112192289531838907e-02,5.112303798994414367e-02,9.531250479195657590e+02
3.932600000000000051e+01,3.666940210540196858e+02,-3.730775228849626812e-02,5.318352477709940764e-04,3.588908866477085735e-01,2.745871019595827178e+01,-2.464154874753909485e+00,5.156292468190161460e-02,5.158196705673425558e-02,9.525474706539017689e+02
3.932699999999999818e+01,3.666940213752295108e+02,-3.694735283146132615e-02,3.212098100506018800e-04,3.603994570349396964e-01,2.745865564810765136e+01,-2.485091942946880739e+00,5.200349928524846538e-02,5.201325443495752321e-02,9.519712735880872287e+02
3.932800000000000296e+01,3.666940214864050063e+02,-3.658545163424319763e-02,1.111754842668396875e-04,3.619011972181261916e-01,2.745860111298265238e+01,-2.506024126672860675e+00,5.244400724383539020e-02,5.244756564751411332e-02,9.513965250399165825e+02
3.932900000000000063e+01,3.666940213881362638e+02,-3.622205550889563697e-02,-9.826874630033610660e-05,3.633961253475583297e-01,2.745854659310539247e+01,-2.526950457866822042e+00,5.288442783759662175e-02,5.288485411625440391e-02,9.508232928658434275e+02
3.932999999999999829e+01,3.666940222122642581e+02,-3.585717124852118298e-02,8.241280162403866747e-04,3.648842603744505975e-01,2.745849209094378196e+01,-2.547869989275401537e+00,5.332474077037165083e-02,5.332507381791366796e-02,9.502516444492073333e+02
3.933100000000000307e+01,3.666940228281235932e+02,-3.549080573691833218e-02,6.158593463597684080e-04,3.663655116028541880e-01,2.745843757951226749e+01,-2.568793078744142644e+00,5.376516815522323217e-02,5.378859274347401465e-02,9.496803336688309400e+02
3.933200000000000074e+01,3.666940232363019163e+02,-3.512296574307512131e-02,4.081783198726060308e-04,3.678399938432108107e-01,2.745838314772109001e+01,-2.589685599911690783e+00,5.420498958085395724e-02,5.421807066118281004e-02,9.491107270895935244e+02
3.933299999999999841e+01,3.666940234373856242e+02,-3.475365801480892469e-02,2.010837235712106916e-04,3.693077282661994531e-01,2.745832874128499768e+01,-2.610568389053202765e+00,5.464464062796315497e-02,5.465038679629126428e-02,9.485428908781151449e+02
3.933400000000000318e+01,3.666940234319599199e+02,-3.438288927798607841e-02,-5.425704780099741909e-06,3.707687368228492764e-01,2.745827436246498365e+01,-2.631440578330635827e+00,5.508410261806127167e-02,5.508549715575951355e-02,9.479768906868752083e+02
3.933500000000000085e+01,3.666940243484810367e+02,-3.401066623574778430e-02,9.165210951468358335e-04,3.722230422382967752e-01,2.745822001346650509e+01,-2.652301321227269693e+00,5.552335730852359097e-02,5.552335832380585895e-02,9.474127916431424410e+02
3.933599999999999852e+01,3.666940250596576334e+02,-3.363699568018371083e-02,7.111765688838713210e-04,3.736705555640749132e-01,2.745816565646024898e+01,-2.673165137744778264e+00,5.596271433485786040e-02,5.599168566658604962e-02,9.468493133543428257e+02
3.933700000000000330e+01,3.666940255660716730e+02,-3.326188428322385260e-02,5.064140535681457486e-04,3.751113969598566245e-01,2.745811140100562397e+01,-2.693989975759484068e+00,5.640128676606220859e-02,5.641873037594684337e-02,9.462878521883050098e+02
3.933800000000000097e+01,3.666940258683037541e+02,-3.288533869193533549e-02,3.022321005859791507e-04,3.765455912885186107e-01,2.745805718224386993e+01,-2.714800729974665483e+00,5.683959519677068278e-02,5.684844005651789461e-02,9.457284719067730521e+02
