# t,x,z,Vx,Vz,T,L,D,R,N_water
6.174000000000000377e+00,4.375688491042576800e+01,1.464275490587887418e+00,1.462773085516639426e+01,1.100108513289603795e+00,3.330458114568729115e+02,8.039820916956163046e+02,8.227757779092856083e+01,8.227757779092856083e+01,0.000000000000000000e+00
6.174999999999999822e+00,4.377151501381855070e+01,1.465376026944287258e+00,1.463010339278032390e+01,1.100536356399753224e+00,3.329750523707433558e+02,8.039683723086665168e+02,8.229887787383066211e+01,8.229887787383066211e+01,0.000000000000000000e+00
6.176000000000000156e+00,4.378614748844580618e+01,1.466476990861141916e+00,1.463247462725520442e+01,1.100963916854726721e+00,3.329043205624248003e+02,8.039546659931176009e+02,8.232017183592128617e+01,8.232017183592128617e+01,0.000000000000000000e+00
6.177000000000000490e+00,4.380078233300498880e+01,1.467578382056009545e+00,1.463484455918213278e+01,1.101391194867542112e+00,3.328336160334374085e+02,8.039409727309935079e+02,8.234145967208087313e+01,8.234145967208087313e+01,0.000000000000000000e+00
6.177999999999999936e+00,4.381541954619414270e+01,1.468680200246660572e+00,1.463721318915203362e+01,1.101818190650981188e+00,3.327629387852841205e+02,8.039272925043547957e+02,8.236274137720442923e+01,8.236274137720442923e+01,0.000000000000000000e+00
6.179000000000000270e+00,4.383005912671190174e+01,1.469782445151078143e+00,1.463958051775566815e+01,1.102244904417590821e+00,3.326922888194508232e+02,8.039136252952951054e+02,8.238401694620105786e+01,8.238401694620105786e+01,0.000000000000000000e+00
6.179999999999999716e+00,4.384470107325748245e+01,1.470885116487457900e+00,1.464194654558362707e+01,1.102671336379683176e+00,3.326216661374057821e+02,8.038999710859443439e+02,8.240528637399438594e+01,8.240528637399438594e+01,0.000000000000000000e+00
6.181000000000000050e+00,4.385934538453070530e+01,1.471988213974207316e+00,1.464431127322633053e+01,1.103097486749336165e+00,3.325510707406004371e+02,8.038863298584670929e+02,8.242654965552226543e+01,8.242654965552226543e+01,0.000000000000000000e+00
6.182000000000000384e+00,4.387399205923198053e+01,1.473091737329945694e+00,1.464667470127403526e+01,1.103523355738393885e+00,3.324805026304690045e+02,8.038727015950610166e+02,8.244780678573678756e+01,8.244780678573678756e+01,0.000000000000000000e+00
6.182999999999999829e+00,4.388864109606229391e+01,1.474195686273504169e+00,1.464903683031682569e+01,1.103948943558467066e+00,3.324099618084280792e+02,8.038590862779602730e+02,8.246905775960435392e+01,8.246905775960435392e+01,0.000000000000000000e+00
6.184000000000000163e+00,4.390329249372323517e+01,1.475300060523925039e+00,1.465139766094462104e+01,1.104374250420933290e+00,3.323394482758777144e+02,8.038454838894318755e+02,8.249030257210553430e+01,8.249030257210553430e+01,0.000000000000000000e+00
6.185000000000000497e+00,4.391794625091698379e+01,1.476404859800461988e+00,1.465375719374717001e+01,1.104799276536937880e+00,3.322689620342005696e+02,8.038318944117784213e+02,8.251154121823509513e+01,8.251154121823509513e+01,0.000000000000000000e+00
6.185999999999999943e+00,4.393260236634629479e+01,1.477510083822579423e+00,1.465611542931405609e+01,1.105224022117393678e+00,3.321985030847622511e+02,8.038183178273350222e+02,8.253277369300194266e+01,8.253277369300194266e+01,0.000000000000000000e+00
6.187000000000000277e+00,4.394726083871452715e+01,1.478615732309952469e+00,1.465847236823469402e+01,1.105648487372981936e+00,3.321280714289110847e+02,8.038047541184735110e+02,8.255399999142922240e+01,8.255399999142922240e+01,0.000000000000000000e+00
6.187999999999999723e+00,4.396192166672562252e+01,1.479721804982466526e+00,1.466082801109832978e+01,1.106072672514152533e+00,3.320576670679785707e+02,8.037912032675982346e+02,8.257522010855410599e+01,8.257522010855410599e+01,0.000000000000000000e+00
6.189000000000000057e+00,4.397658484908411936e+01,1.480828301560217719e+00,1.466318235849404239e+01,1.106496577751124866e+00,3.319872900032791563e+02,8.037776652571477598e+02,8.259643403942789064e+01,8.259643403942789064e+01,0.000000000000000000e+00
6.190000000000000391e+00,4.399125038449513170e+01,1.481935221763511557e+00,1.466553541101074387e+01,1.106920203293887406e+00,3.319169402361100083e+02,8.037641400695948732e+02,8.261764177911594231e+01,8.261764177911594231e+01,0.000000000000000000e+00
6.190999999999999837e+00,4.400591827166437042e+01,1.483042565312863825e+00,1.466788716923717750e+01,1.107343549352198808e+00,3.318466177677514679e+02,8.037506276874464675e+02,8.263884332269766730e+01,8.263884332269766730e+01,0.000000000000000000e+00
6.192000000000000171e+00,4.402058850929812905e+01,1.484150331928999478e+00,1.467023763376192136e+01,1.107766616135588134e+00,3.317763225994669369e+02,8.037371280932429727e+02,8.266003866526648380e+01,8.266003866526648380e+01,0.000000000000000000e+00
6.193000000000000504e+00,4.403526109610330508e+01,1.485258521332852855e+00,1.467258680517338121e+01,1.108189403853355071e+00,3.317060547325026505e+02,8.037236412695588115e+02,8.268122780192982191e+01,8.268122780192982191e+01,0.000000000000000000e+00
6.193999999999999950e+00,4.404993603078736442e+01,1.486367133245567462e+00,1.467493468405980117e+01,1.108611912714570602e+00,3.316358141680881317e+02,8.037101671990013756e+02,8.270241072780899572e+01,8.270241072780899572e+01,0.000000000000000000e+00
6.195000000000000284e+00,4.406461331205837695e+01,1.487476167388495529e+00,1.467728127100925306e+01,1.109034142928077449e+00,3.315656009074356234e+02,8.036967058642132997e+02,8.272358743803943071e+01,8.272358743803943071e+01,0.000000000000000000e+00
6.195999999999999730e+00,4.407929293862498810e+01,1.488585623483198006e+00,1.467962656660964527e+01,1.109456094702490292e+00,3.314954149517408268e+02,8.036832572478688235e+02,8.274475792777026584e+01,8.274475792777026584e+01,0.000000000000000000e+00
6.197000000000000064e+00,4.409397490919644014e+01,1.489695501251444121e+00,1.468197057144871742e+01,1.109877768246196217e+00,3.314252563021822198e+02,8.036698213326773157e+02,8.276592219216470880e+01,8.276592219216470880e+01,0.000000000000000000e+00
6.198000000000000398e+00,4.410865922248255089e+01,1.490805800415211380e+00,1.468431328611404041e+01,1.110299163767355379e+00,3.313551249599216817e+02,8.036563981013802049e+02,8.278708022639972341e+01,8.278708022639972341e+01,0.000000000000000000e+00
6.198999999999999844e+00,4.412334587719374213e+01,1.491916520696685344e+00,1.468665471119302168e+01,1.110720281473901005e+00,3.312850209261039254e+02,8.036429875367527984e+02,8.280823202566615748e+01,8.280823202566615748e+01,0.000000000000000000e+00
6.200000000000000178e+00,4.413803487204101828e+01,1.493027661818258967e+00,1.468899484727289639e+01,1.111141121573539836e+00,3.312149442018571790e+02,8.036295896216041683e+02,8.282937758516870019e+01,8.282937758516870019e+01,0.000000000000000000e+00
6.201000000000000512e+00,4.415272620573595930e+01,1.494139223502532809e+00,1.469133369494073804e+01,1.111561684273753237e+00,3.311448947882925040e+02,8.036162043387761287e+02,8.285051690012579684e+01,8.285051690012579684e+01,0.000000000000000000e+00
6.201999999999999957e+00,4.416741987699074201e+01,1.495251205472314604e+00,1.469367125478344960e+01,1.111981969781796531e+00,3.310748726865043636e+02,8.036028316711425532e+02,8.287164996576964882e+01,8.287164996576964882e+01,0.000000000000000000e+00
6.203000000000000291e+00,4.418211588451813299e+01,1.496363607450619249e+00,1.469600752738776883e+01,1.112401978304700334e+00,3.310048778975703385e+02,8.035894716016126722e+02,8.289277677734628469e+01,8.289277677734628469e+01,0.000000000000000000e+00
6.203999999999999737e+00,4.419681422703147433e+01,1.497476429160668587e+00,1.469834251334026654e+01,1.112821710049270330e+00,3.309349104225513543e+02,8.035761241131261841e+02,8.291389733011536123e+01,8.291389733011536123e+01,0.000000000000000000e+00
6.205000000000000071e+00,4.421151490324470501e+01,1.498589670325890744e+00,1.470067621322734652e+01,1.113241165222087936e+00,3.308649702624913402e+02,8.035627891886575753e+02,8.293501161935029131e+01,8.293501161935029131e+01,0.000000000000000000e+00
6.206000000000000405e+00,4.422621791187233953e+01,1.499703330669920343e+00,1.470300862763524563e+01,1.113660344029510973e+00,3.307950574184177981e+02,8.035494668112128238e+02,8.295611964033814445e+01,8.295611964033814445e+01,0.000000000000000000e+00
