window_utc,window_jst,hours,pref,area,code,point,pop_pct,model_mm,district_max_mm,model_peak_mm_h,district_peak_mm_h,wet_frac,source,official_rain,model_rain,agree
2026-09-21T21:00:00Z,09/22 06:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),0.0,1.3,1.4,0.3,0.3,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),20.0,0.6,0.6,0.1,0.2,0.43,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),20.0,0.3,0.3,0.1,0.1,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,東京都,小笠原諸島,130040,代表地点,30.0,0.2,0.3,0.1,0.1,0.0,予報+実況,False,False,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,東京都,小笠原諸島,130040,代表地点,20.0,0.4,0.4,0.1,0.1,0.0,予報,False,False,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,東京都,小笠原諸島,130040,代表地点,20.0,0.3,0.4,0.1,0.1,0.0,予報,False,False,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,東京都,小笠原諸島,130040,代表地点,10.0,0.2,0.2,0.0,0.1,0.0,予報,False,False,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,東京都,小笠原諸島,130040,代表地点,10.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-22T03:00:00Z,09/22 12:00,6.0,東京都,小笠原諸島,130040,代表地点,10.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,東京都,小笠原諸島,130040,代表地点,10.0,0.0,0.0,0.0,0.0,0.0,予報,False,False,True
