site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
八丈島,130030,51.0,09/23 11:00,1190.4,True,,0,6.5,9.2,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
八丈島,130030,54.0,09/23 14:00,1277.3,True,,0,6.1,8.7,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
八丈島,130030,57.0,09/23 17:00,1364.7,True,,0,5.8,8.3,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
八丈島,130030,60.0,09/23 20:00,1452.7,True,,0,5.5,7.9,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
八丈島,130030,63.0,09/23 23:00,1541.2,True,,0,5.3,7.6,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
八丈島,130030,66.0,09/24 02:00,1630.0,True,,0,5.1,7.2,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
八丈島,130030,69.0,09/24 05:00,1719.2,True,,0,4.9,7.0,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
八丈島,130030,72.0,09/24 08:00,1808.8,True,,0,4.7,6.7,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
千葉,120010,0.0,09/21 08:00,403.0,False,"wind,gust",2,16.8,24.0,6.1,17874.0,0.15,rain,1.1501,0.978,0.0,6.821,6.74,2.49
千葉,120010,3.0,09/21 11:00,332.5,False,"wind,gust,rain",3,19.0,27.1,10.1,16455.0,0.25,rain,1.1506,0.968,0.0,6.75,6.74,2.49
千葉,120010,6.0,09/21 14:00,262.4,False,"wind,gust",2,23.0,32.9,5.3,18157.0,0.13,rain,1.1517,0.98,0.0,6.842,6.74,2.49
千葉,120010,9.0,09/21 17:00,192.2,False,"wind,gust",2,23.3,33.3,4.0,18617.0,0.1,rain,1.1529,0.984,0.0,6.872,6.74,2.48
千葉,120010,12.0,09/21 20:00,120.0,False,"wind,gust",2,28.2,40.3,2.5,19122.0,0.06,rain,1.1543,0.989,0.0,6.909,6.73,2.47
千葉,120010,15.0,09/21 23:00,52.9,False,"wind,gust",2,23.6,33.7,1.6,19430.0,0.04,rain,1.1558,0.992,0.0,6.936,6.73,2.46
千葉,120010,18.0,09/22 02:00,50.6,False,"wind,gust",2,19.3,27.6,1.0,19641.0,0.03,rain,1.1575,0.994,0.0,6.958,6.72,2.45
千葉,120010,21.0,09/22 05:00,119.6,False,"wind,gust",2,30.0,42.8,0.7,19757.0,0.02,rain,1.1593,0.996,0.0,6.974,6.72,2.45
千葉,120010,24.0,09/22 08:00,196.6,False,"wind,gust",2,25.2,36.1,0.5,19831.0,0.01,rain,1.1612,0.997,0.0,6.987,6.71,2.44
千葉,120010,27.0,09/22 11:00,275.8,False,"wind,gust",2,22.2,31.7,0.3,19885.0,0.01,rain,1.1631,0.998,0.0,6.999,6.71,2.43
千葉,120010,30.0,09/22 14:00,356.6,False,"wind,gust",2,20.1,28.7,0.2,19923.0,0.01,rain,1.165,0.998,0.0,7.01,6.7,2.42
千葉,120010,33.0,09/22 17:00,438.6,False,"wind,gust",2,18.5,26.4,0.1,19949.0,0.0,rain,1.1669,0.999,0.0,7.019,6.69,2.41
千葉,120010,36.0,09/22 20:00,521.6,False,"wind,gust",2,17.3,24.7,0.1,19966.0,0.0,rain,1.1687,0.999,0.0,7.027,6.69,2.4
千葉,120010,39.0,09/22 23:00,605.5,False,"wind,gust",2,16.3,23.3,0.1,19978.0,0.0,rain,1.1705,0.999,0.0,7.035,6.68,2.39
千葉,120010,42.0,09/23 02:00,690.3,False,"wind,gust",2,15.5,22.1,0.0,19986.0,0.0,rain,1.1722,1.0,0.0,7.042,6.68,2.38
千葉,120010,45.0,09/23 05:00,775.8,False,"wind,gust",2,8.3,11.8,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
千葉,120010,48.0,09/23 08:00,862.0,False,wind,1,7.7,11.0,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
千葉,120010,51.0,09/23 11:00,948.8,True,,0,7.2,10.3,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
千葉,120010,54.0,09/23 14:00,1036.2,True,,0,6.7,9.6,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
千葉,120010,57.0,09/23 17:00,1124.1,True,,0,6.4,9.1,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
千葉,120010,60.0,09/23 20:00,1212.4,True,,0,6.0,8.6,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
千葉,120010,63.0,09/23 23:00,1301.2,True,,0,5.7,8.2,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
千葉,120010,66.0,09/24 02:00,1390.3,True,,0,5.5,7.8,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
千葉,120010,69.0,09/24 05:00,1479.7,True,,0,5.2,7.5,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
千葉,120010,72.0,09/24 08:00,1569.4,True,,0,5.0,7.2,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
大島,130020,0.0,09/21 08:00,289.5,False,"wind,gust,rain",3,19.5,27.8,11.2,16096.0,0.28,rain,1.15,0.965,0.0,6.731,6.74,2.5
大島,130020,3.0,09/21 11:00,219.1,False,"wind,gust",2,23.1,33.0,6.8,17621.0,0.17,rain,1.1507,0.976,0.0,6.809,6.74,2.49
大島,130020,6.0,09/21 14:00,150.0,False,"wind,gust",2,29.9,42.8,3.8,18684.0,0.09,rain,1.1517,0.985,0.0,6.873,6.74,2.49
大島,130020,9.0,09/21 17:00,83.8,False,"wind,gust",2,31.3,44.7,2.7,19043.0,0.07,rain,1.1529,0.988,0.0,6.9,6.74,2.48
大島,130020,12.0,09/21 20:00,39.9,False,"wind,gust",2,20.5,29.3,1.7,19406.0,0.04,rain,1.1543,0.992,0.0,6.929,6.73,2.47
大島,130020,15.0,09/21 23:00,85.8,False,"wind,gust",2,33.2,47.5,1.1,19608.0,0.03,rain,1.1559,0.994,0.0,6.95,6.73,2.46
大島,130020,18.0,09/22 02:00,157.5,False,"wind,gust",2,27.0,38.6,0.8,19726.0,0.02,rain,1.1575,0.995,0.0,6.966,6.72,2.45
大島,130020,21.0,09/22 05:00,233.7,False,"wind,gust",2,23.3,33.3,0.5,19814.0,0.01,rain,1.1593,0.997,0.0,6.98,6.72,2.45
大島,130020,24.0,09/22 08:00,311.9,False,"wind,gust",2,21.2,30.2,0.4,19868.0,0.01,rain,1.1612,0.997,0.0,6.991,6.71,2.44
大島,130020,27.0,09/22 11:00,391.6,False,"wind,gust",2,19.4,27.7,0.3,19911.0,0.01,rain,1.1631,0.998,0.0,7.002,6.71,2.43
大島,130020,30.0,09/22 14:00,472.6,False,"wind,gust",2,18.0,25.7,0.2,19940.0,0.0,rain,1.165,0.999,0.0,7.012,6.7,2.42
大島,130020,33.0,09/22 17:00,554.6,False,"wind,gust",2,16.9,24.1,0.1,19960.0,0.0,rain,1.1669,0.999,0.0,7.021,6.69,2.41
大島,130020,36.0,09/22 20:00,637.6,False,"wind,gust",2,16.0,22.9,0.1,19974.0,0.0,rain,1.1687,0.999,0.0,7.029,6.69,2.4
大島,130020,39.0,09/22 23:00,721.6,False,"wind,gust",2,15.2,21.8,0.0,19983.0,0.0,rain,1.1705,0.999,0.0,7.036,6.68,2.39
大島,130020,42.0,09/23 02:00,806.4,False,"wind,gust",2,14.6,20.8,0.0,19989.0,0.0,rain,1.1722,1.0,0.0,7.042,6.68,2.38
大島,130020,45.0,09/23 05:00,891.9,False,wind,1,7.8,11.1,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
